Opérateur;Année;Filière;Consommation Agriculture (MWh);Nombre de points Agriculture;Nombre de mailles secretisées (agriculture);Indique qualité Agriculture;Consommation Industrie (MWh);Nombre de points Industrie;Nombre de mailles secretisées (industrie);Indice qualité Industrie;Consommation Tertiaire  (MWh);Nombre de points Tertiaire;Nombre de mailles secretisées (tertiaire);Indice qualité Tertiaire;Consommation Résidentiel  (MWh);Nombre de points Résidentiel;Nombre de mailles secretisées (résidentiel);Indice qualité Résidentiel;Thermosensibilité (MWh/degré-jour);Part Thermosensible;Consommation Secteur Inconnu (MWh);Nombre de points Secteur Inconnu;Nombre de mailles secretisées (secteur inconnu);Indice qualité Non Affecté;Code Commune;Libellé Commune;Code EPCI;Libellé EPCI;Code Département;Libellé Département;Code Région;Libellé Région;id_filiere;Consommation totale (MWh);Code_postal
GRDF;2014;Gaz;0.0;0;0;0.0;1464.0;1;0;1.0;2424.0;8;0;1.0;30798.0;2534;0;0.00846;0.0;0.0;0.0;0;0;0.0;35024;Betton;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;34686.0;35830
GRDF;2014;Gaz;6990.0;2;0;1.0;33120.0;4;0;1.0;21454.0;36;0;1.0;48358.0;3014;3;0.0687;0.0;0.0;0.0;0;0;0.0;35051;Cesson-Sévigné;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;109922.0;35510
GRDF;2014;Gaz;7551.0;2;0;1.0;6922.0;2;0;1.0;1210.0;5;0;1.0;16010.0;1200;0;0.0282;0.0;0.0;0.0;0;0;0.0;35196;Mordelles;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;31693.0;35310
Enedis;2015;Electricité;1041.33;2;0;0.951;54899.52;203;0;0.959;418989.51;1312;0;0.968;441869.37;137854;0;0.448;0.0;0.0;382.46;15;0;0.695;35238;Rennes;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;917182.19;35700/35200/35000
Enedis;2015;Electricité;0.0;0;0;0.0;368.45;5;0;0.928;5524.14;31;0;0.948;17714.81;3746;0;0.379;0.0;0.0;0.0;0;0;0.0;35334;Thorigné-Fouillard;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;23607.4;35235
Enedis;2015;Electricité;0.0;0;0;0.0;246.71;4;0;0.879;773.64;6;0;0.928;9044.38;1848;0;0.366;0.0;0.0;0.0;0;0;0.0;35363;Pont-Péan;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;10064.73;35131
Enedis;2014;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;250.61;2;0;0.893;4285.34;560;0;0.378;0.0;0.0;0.0;0;0;0.0;35315;Saint-Sulpice-la-Forêt;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;4535.95;35250
Enedis;2011;Electricité;0.0;0;0;0.0;3568.56;6;0;0.982;9702.58;42;0;0.932;27303.28;4889;0;0.353;0.0;0.0;0.0;0;0;0.0;35024;Betton;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;40574.42;35830
Enedis;2011;Electricité;0.0;0;0;0.0;1509.43;10;0;0.914;4248.31;14;0;0.967;5136.52;792;0;0.355;0.0;0.0;0.0;1;0;1.0;35039;Brécé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;10894.260000000002;35530
Enedis;2011;Electricité;0.0;0;0;0.0;60.1;1;0;0.909;83.12;3;0;0.899;5669.9;834;0;0.277;0.0;0.0;0.0;0;0;0.0;35065;La Chapelle-Thouarault;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;5813.12;35590
Enedis;2011;Electricité;0.0;0;0;0.0;5267.96;19;0;0.964;19136.92;66;0;0.962;19697.51;3867;0;0.352;0.0;0.0;5.04;1;0;1.0;35240;Le Rheu;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;44107.43;35650/35650
GRDF;2012;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;2482.0;230;0;0.0;0.0;0.0;0.0;0;0;0.0;35065;La Chapelle-Thouarault;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;2482.0;35590
GRDF;2012;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;394.0;1;0;1.0;4809.0;313;0;0.07;0.0;0.0;0.0;0;0;0.0;35245;Romillé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;5203.0;35850
Enedis;2013;Electricité;118.7;2;0;0.93;5711.64;6;0;0.993;1064.64;7;0;0.969;9544.96;1542;0;0.43;0.0;0.0;0.0;0;0;0.0;35032;Bourgbarré;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;16439.94;35230
Enedis;2013;Electricité;129.62;1;0;0.9;5912.39;26;0;0.959;42806.69;126;0;0.944;46603.3;8916;0;0.42;0.0;0.0;0.0;0;0;0.0;35047;Bruz;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;95452.0;35170/35170
GRDF;2011;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;2131.0;187;0;0.0;0.0;0.0;0.0;0;0;0.0;35065;La Chapelle-Thouarault;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;2131.0;35590
GRDF;2011;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;8734.0;727;0;0.06;0.0;0.0;0.0;0;0;0.0;35076;Chavagne;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;8734.0;35310
GRDF;2011;Gaz;13607.0;4;0;1.0;846.0;1;0;1.0;5444.0;7;0;1.0;18417.0;1507;1;0.0855;0.0;0.0;0.0;0;1;0.0;35206;Noyal-Châtillon-sur-Seiche;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;38314.0;35230/35230
GRDF;2011;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;338.0;1;0;0.63;10785.0;889;0;0.0;0.0;0.0;0.0;0;0;0.0;35363;Pont-Péan;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;11123.0;35131
GRDF;2015;Gaz;0.0;0;0;0.0;2325.0;3;0;1.0;10408.0;14;0;1.0;38757.0;3227;0;0.0463;0.0;0.0;0.0;0;1;0.0;35055;Chantepie;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;51490.0;35135
GRDF;2015;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;2509.0;285;0;0.0;0.0;0.0;0.0;0;0;0.0;35065;La Chapelle-Thouarault;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;2509.0;35590
GRDF;2015;Gaz;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0;0;0.0;4442.0;406;0;0.0;0.0;0.0;0.0;0;0;0.0;35079;Chevaigné;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;4442.0;35250
GRDF;2015;Gaz;5526.0;1;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;3896.0;326;0;0.0;0.0;0.0;0.0;0;0;0.0;35204;Nouvoitou;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;9422.0;35410
GRDF;2015;Gaz;4454.0;2;0;1.0;3828.0;2;0;1.0;5743.0;7;0;1.0;27861.0;2251;1;0.0166;0.0;0.0;0.0;0;1;0.0;35352;Vern-sur-Seiche;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;41886.0;35770
GRT Gaz;2011;Gaz;0.0;0;0;0.0;234588.9;2;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0;0;0.0;35066;Chartres-de-Bretagne;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;234588.9;35131
GRDF;2013;Gaz;4919.0;1;0;1.0;0.0;0;0;0.0;0.0;0;0;0.0;4333.0;284;0;0.0;0.0;0.0;0.0;0;0;0.0;35204;Nouvoitou;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;9252.0;35410
GRDF;2013;Gaz;0.0;0;0;0.0;4406.0;3;0;1.0;10573.0;9;0;1.0;31342.0;1956;0;0.028;0.0;0.0;0.0;0;0;0.0;35240;Le Rheu;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;200;46321.0;35650/35650
Enedis;2015;Electricité;247.09;2;0;0.955;0.0;0;0;0.0;71.98;1;0;0.946;3975.81;501;0;0.367;0.0;0.0;0.0;0;0;0.0;35058;La Chapelle-Chaussée;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;4294.88;35630
Enedis;2015;Electricité;0.0;0;0;0.0;0.0;0;0;0.0;26.23;1;0;0.874;2017.34;334;0;0.344;0.0;0.0;0.0;0;0;0.0;35081;Clayes;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;2043.57;35590
Enedis;2015;Electricité;88.04;1;0;0.946;9610.78;4;0;0.999;1920.26;12;0;0.923;15537.42;2301;0;0.428;0.0;0.0;0.0;0;0;0.0;35139;Laillé;243500139;Rennes Métropole;35;Ille-et-Vilaine;53;Bretagne;100;27156.5;35890
