#### EXPORT DONNEES METEO POUR "RENNES (ILLE-ET-VILAINE)" (LAT/LON: 48.117266/-1.6777926)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2014-01-01,11,6,43,6,10,11,3.8,96,9.375,1009,69.625,11,10,3,116,122,389,0,3,3.3,météo défavorable,17:24:00,08:57:00,6
2014-01-02,11,6,24,6,11,9,0.3,92,9,1003,45,11,9,3,113,116,116,0,3,8.7,météo défavorable,17:25:00,08:57:00,8
2014-01-03,11,7,31,9,11,7,0,93,10,1008,42.125,11,10,6,116,116,113,0,2,6.9,météo défavorable,17:26:00,08:57:00,10
2014-01-04,10,4,31,9,10,4,3.4,92,9.5,1006,66.5,10,8,5,122,122,113,0,3,5.1,météo défavorable,17:27:00,08:57:00,9
2014-01-05,12,3,34,3,8,11,1.7,95,8.75,1008,61.625,12,12,-1,113,122,200,0,3,5.1,météo très défavorable,17:28:00,08:57:00,5
2014-01-06,13,9,40,12,13,9,3,94,9.625,1007,62,13,11,9,119,119,113,0,3,5.1,météo correcte,17:29:00,08:56:00,12
2014-01-07,13,9,27,9,13,9,0,96,10,1013,51,13,10,5,119,116,119,0,4,8.7,météo correcte,17:30:00,08:56:00,9
2014-01-08,12,7,22,7,12,10,0.4,97,7.875,1018,42.875,12,11,5,143,113,200,0,3,8.7,météo défavorable,17:32:00,08:56:00,7
2014-01-09,10,5,23,10,10,7,0.4,95,8.375,1017,52.25,10,10,5,263,116,113,0,2,6.9,météo défavorable,17:33:00,08:55:00,10
2014-01-10,10,3,12,3,10,7,1.9,96,6.75,1018,41.125,10,9,1,143,113,296,0,3,6.9,météo très défavorable,17:34:00,08:55:00,3
2014-01-11,10,4,7,4,10,6,1.1,96,7.875,1023,42.75,10,8,3,143,116,116,0,2,8.7,météo très défavorable,17:35:00,08:55:00,5
2014-01-12,10,3,24,3,9,9,1.7,98,9.875,1022,73.125,10,10,-2,119,122,119,0,3,3.3,météo très défavorable,17:37:00,08:54:00,4
2014-01-13,10,5,25,5,10,6,2.1,94,9.125,1014,33.5,10,7,2,113,113,200,0,2,6.9,météo très défavorable,17:38:00,08:53:00,5
2014-01-14,8,2,14,2,8,5,1.3,92,8.875,1011,36,8,4,-2,113,113,116,0,1,8.7,météo très défavorable,17:39:00,08:53:00,2
2014-01-15,12,8,27,9,12,10,7.4,98,7.5,1009,91.875,12,10,6,122,266,119,0,3,3.3,météo défavorable,17:41:00,08:52:00,9
2014-01-16,11,7,29,7,11,8,1.1,91,10,998,52.875,11,8,3,116,116,116,0,2,6.9,météo défavorable,17:42:00,08:51:00,8
2014-01-17,11,6,24,7,11,7,2.2,96,9.375,996,70.875,11,8,4,122,119,116,0,3,5.1,météo défavorable,17:43:00,08:51:00,6
2014-01-18,10,5,32,5,10,7,2.8,94,10,995,62,10,8,1,116,119,353,0,3,5.1,météo très défavorable,17:45:00,08:50:00,6
2014-01-19,9,2,5,2,8,2,0,96,7.75,1002,45.875,9,4,-0,143,116,113,0,2,8.7,météo très défavorable,17:46:00,08:49:00,3
2014-01-20,8,0,13,0,8,4,0,94,10,1014,25.25,8,5,-1,113,116,116,0,2,8.7,météo très défavorable,17:48:00,08:48:00,1
2014-01-21,8,0,22,1,7,5,0.4,93,7,1015,41.25,8,5,-2,116,113,119,0,1,8.7,météo très défavorable,17:49:00,08:47:00,0
2014-01-22,10,4,13,6,9,6,0.4,98,8,1014,63.125,10,7,4,248,116,116,0,2,6.9,météo défavorable,17:51:00,08:46:00,7
2014-01-23,9,3,20,3,9,7,0.3,95,8,1021,57.125,9,7,0,143,122,122,0,3,5.2,météo très défavorable,17:52:00,08:45:00,3
2014-01-24,10,7,14,7,10,9,6.8,99,5.5,1021,100,10,10,5,248,248,248,0,2,3.4,météo défavorable,17:54:00,08:44:00,7
